G-Status,ID,IP1,IP2,Fit,Relax
C,h0417,9500,0.38,10000000,25739.14317
C,h0418,9500,0.39,10000000,28207.48114
C,h0419,9500,0.4,10000000,30687.01384
C,h0420,10000,0.2,4602.66444,187925.8607
C,h0421,10000,0.21,756.119935,98855.97818
C,h0422,10000,0.22,12593.77688,50403.07271
C,h0423,10000,0.23,55249.34375,24173.70933
C,h0424,10000,0.24,150478.0154,10406.37801
C,h0425,10000,0.25,327539.2768,3742.417907
C,h0426,10000,0.26,623734.0054,1162.486454
C,h0427,10000,0.27,1084562.781,930.011077
C,h0428,10000,0.28,1763524.96,2034.907582
C,h0429,10000,0.29,2721620.579,3885.145396
C,h0430,10000,0.3,4026644.319,6134.486921
C,h0431,10000,0.31,5752371.593,8581.453981
C,h0432,10000,0.32,7977733.41,11112.29698
C,h0433,10000,0.33,10000000,13665.95656
C,h0434,10000,0.34,10000000,16211.1358
C,h0435,10000,0.35,10000000,18736.83862
C,h0436,10000,0.36,10000000,21242.05507
C,h0437,10000,0.37,10000000,23732.16634
C,h0438,10000,0.38,10000000,26215.93699
C,h0439,10000,0.39,10000000,28702.60213
C,h0440,10000,0.4,10000000,31202.78724
